"author_channel_ID","author_number"
"UC0KUjh4SdFCpV-MLghxuFCQ","0012621"
"UC0KVKugZc0VLyZyISNmLj9A","0013019"
"UC0KcZC9BctQd7HxnwPhpdig","0020953"
"UC0KzkmY5dZS5zuHp4ShKgXA","0004364"
"UC0L3T4_xcaalkxBpuGGy5dA","0011398"
"UC0LMYl60pFQ9ZBhEoEwQ3WQ","0001846"
"UC0LuwJu3CpVZxaPIf9UDb_w","0018148"
"UC0Lwj2vzYodAcHpAqlE7bQA","0014900"
"UC0MAQ89omJYTRqm0L6BvmXQ","0020230"
"UC0MD5SGf4ZWgMwX33xYYTfQ","0022761"
"UC0M_LAkF76cVX2L5yQgUHYg","0013347"
"UC0MsXm3_OC50gEvWRM81v2w","0018143"
"UC0MyEsZO8VGpQw75_P8ss6A","0007184"
"UC0NPzIUPDJxtTNkruS20KpQ","0000658"
"UC0NVoN4vq2YV9DhbQCJB0Vg","0011315"
"UC0Ncj_3wqcvvpMam1ORnRfA","0007585"
"UC0Nk_xoDVdoToMwKQ7qX0LQ","0020017"
"UC0Npz1eHQoX3qeZdlqlnv_Q","0006591"
"UC0OFiacssmnZnEX823hSMGg","0017276"
"UC0OXJ2QyVokb844uqSrZVgA","0008730"
"UC0OcQwRS9JAIo3hiVbcDcUQ","0016889"
"UC0OhPjvoJg_zN9OenrpxCzQ","0022229"
"UC0OvJi1K2lWpV6u3jSwG9jw","0004648"
"UC0P88p9p9C0mKsurXdYSq9g","0001138"
"UC0P8QY9VnUhhsKqFGNeRWKw","0017141"
"UC0PLSVmreEdilSh5Tlg5EtQ","0017644"
"UC0PSOdIIknKsKoXvuiOFF3w","0022203"
"UC0PfPxnkGJAAYbbPX8QjzMA","0007596"
"UC0Q4f1a0R5NEXoZ3C5bJaYg","0003918"
"UC0QD3NnEZLl0ye-REefDfAw","0014122"
"UC0QHWhjbe5fGJEPz3sVb6nw","0020824"
"UC0QLWatI76Sh3DRUGyLCc_g","0003089"
"UC0QP8ED_fUzaVsmXk6ia24A","0006443"
"UC0QSaWBuqQ8_0ziW5v7j15Q","0007412"
"UC0QhAiM-l-UaJoF-Rv-HgsA","0009907"
"UC0Qn8uvcMfMKs5vfrvZuXCg","0013473"
"UC0QpjWt0b7NxMz7NfeF6ufQ","0008493"
"UC0QuUxpYgQ42qUUmepUGB0A","0008214"
"UC0QvN-pNVfbozMcifUcNPew","0001031"
"UC0R5wOTkIzG31IRuxUCGQvA","0000212"
"UC0REIiweuXsn1WKC4gMBKVA","0007712"
"UC0RLt-x9Luhi4t4u3DhHFNg","0001671"
"UC0RSqajbSMhgOeBA4w4NwDw","0020218"
"UC0RTBo1JXKGj4fHBtav5bhg","0019170"
