"comment_ID","comment_number"
"UgglYr1isyTC-ngCoAEC.8U5N0gbQp8u8UCHImkIOH2","0002531"
"UgglbQTZ_ooqdngCoAEC","0006516"
"UgglxegxUoWTE3gCoAEC","0016727"
"Ugglz_Sr3CG4o3gCoAEC","0017228"
"Ugglz_Sr3CG4o3gCoAEC.861wIHX2_De872XlXN11WZ","0017231"
"Ugglz_Sr3CG4o3gCoAEC.861wIHX2_De87LSXccKaef","0017230"
"Ugglz_Sr3CG4o3gCoAEC.861wIHX2_De8Is83ZqK5-Z","0017229"
"Uggm-raZCSA0GHgCoAEC","0000631"
"Uggm-raZCSA0GHgCoAEC.81F4hQaKXUi71U6DCH2beG","0000635"
"Uggm-raZCSA0GHgCoAEC.81F4hQaKXUi71qqmee02Mx","0000634"
"Uggm-raZCSA0GHgCoAEC.81F4hQaKXUi71sTw-biQUi","0000633"
"Uggm-raZCSA0GHgCoAEC.81F4hQaKXUi71sXK4ifxKg","0000632"
"UggmOIml6esidXgCoAEC","0029275"
"Uggmu7HlwfHtd3gCoAEC","0017210"
"Uggmu7HlwfHtd3gCoAEC.89CYBOvnrU98D_nfIW38OL","0017211"
"UggnSu9dQ2uED3gCoAEC","0022134"
"UggnsvWl5KZjKXgCoAEC","0002299"
"UggnsvWl5KZjKXgCoAEC.8SRdVcjRsRK96d-EO7S2cc","0002300"
"UggnuGTkYBnlongCoAEC","0012183"
"UggnuGTkYBnlongCoAEC.8O_37MwARG08UKEnX1tWZr","0012185"
"UggnuGTkYBnlongCoAEC.8O_37MwARG08ujjKTxrP6A","0012184"
"UggnyyKQtAnvzXgCoAEC","0006470"
"UggoBbVDK-7a9XgCoAEC","0019675"
"UggoBbVDK-7a9XgCoAEC.89vAY5j50xp8nAOUqAesa_","0019676"
"UggoZRdDYLBAYngCoAEC","0012555"
"UggocQx-eEc_v3gCoAEC","0015521"
"UggocQx-eEc_v3gCoAEC.7-H0Z7-9WWL7-orJlh-Gkz","0015522"
"UggocmM_l-oLuXgCoAEC","0029286"
"UggocmM_l-oLuXgCoAEC.8GHBCBb5MKs8QJIKQO_9AW","0029289"
"UggocmM_l-oLuXgCoAEC.8GHBCBb5MKs8Vc1fieATBT","0029288"
"UggocmM_l-oLuXgCoAEC.8GHBCBb5MKs8qH7Sb4R2Sh","0029287"
